id,nice_facility,friendly_host,flexible_time,adequate_amenity,convenient_tranposrtation,highly_recommended,easy_acess,prepare_essentials,match_description,nice_neighborhood,good_location,like_home
10488146,105,32,35,48,41,111,108,74,19,46,31,42
19168601,17,6,6,12,2,23,27,11,6,3,5,6
17332774,0,0,0,0,1,0,0,0,0,0,0,0
19827778,8,2,1,5,3,11,11,11,1,6,5,0
18837416,4,5,0,3,0,8,3,5,3,0,0,1
9960561,28,15,15,6,21,47,48,38,12,20,13,11
20498261,6,2,7,6,3,9,6,5,1,3,6,8
519310,338,107,93,128,127,350,372,240,59,105,78,120
14035390,76,28,40,24,40,116,119,58,19,33,38,28
13358067,1,1,0,0,1,2,0,1,1,0,0,0
19456110,17,5,3,6,6,19,20,10,4,6,5,1
20980192,4,0,0,0,1,2,3,1,1,3,1,2
17942891,0,4,1,0,0,5,3,3,0,0,4,0
10068386,60,49,29,18,36,115,140,85,26,45,33,31
4056741,9,4,2,10,9,17,13,7,6,5,10,3
9840355,0,0,0,0,0,1,2,0,0,0,0,0
16910040,4,2,3,2,1,5,8,3,2,2,4,0
20955108,0,0,0,0,1,1,2,0,0,2,0,0
1582263,19,25,16,7,13,47,48,31,6,18,12,17
691049,111,34,50,42,35,102,97,76,21,39,37,36
18605601,8,4,0,3,3,15,8,13,4,1,0,5
1225110,10,7,2,5,6,12,8,5,0,4,3,6
6973292,90,51,65,27,33,146,127,102,33,39,54,50
19414664,3,5,1,4,1,10,6,10,2,4,3,1
12205541,24,9,11,19,3,36,37,23,3,3,14,8
9596854,12,6,6,6,4,30,44,11,4,8,12,4
14732889,7,2,5,5,4,11,16,9,2,5,3,3
7762374,37,7,19,8,12,34,30,25,4,19,11,9
